image_id,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11
138925,1,11,19,37,87,77,42,18,1,0
50996,6,10,26,52,51,25,18,4,2,5
630077,0,2,4,13,46,77,57,45,21,10
612434,1,3,6,29,58,41,23,12,9,0
593854,1,0,8,36,46,20,9,0,1,1
381445,0,1,5,23,41,59,41,24,9,10
877064,1,4,8,23,46,50,15,17,6,2
339746,0,4,14,65,70,18,7,1,0,0
919122,5,7,23,43,65,42,10,3,2,0
14812,35,41,41,38,19,6,4,1,1,2
154950,1,7,29,65,78,31,4,2,0,1
418052,0,2,5,33,73,50,25,6,4,0
577024,2,1,1,11,36,65,29,15,2,4
1574,2,7,19,30,39,37,28,22,6,3
550497,0,1,4,11,41,64,46,12,7,4
693308,1,3,11,35,61,32,7,1,2,0
431722,1,12,18,68,55,21,7,0,0,2
615559,3,6,11,78,84,57,18,8,2,0
325386,3,4,16,36,73,71,41,17,9,4
205550,3,4,25,67,104,42,19,9,0,0
944321,0,0,1,4,42,53,25,19,4,0
540272,0,0,2,22,50,31,8,0,3,0
274937,0,1,4,32,89,83,40,19,11,3
750254,2,5,6,19,56,45,20,8,2,1
885718,0,0,2,4,10,26,42,40,11,8
176383,5,9,20,69,96,64,15,5,3,1
432738,3,7,24,81,96,49,29,12,3,4
818792,0,0,4,11,27,51,46,16,7,1
623559,1,10,21,54,63,21,12,4,0,2
120151,3,4,43,89,108,44,19,8,3,2
908064,1,2,5,30,62,61,25,11,3,0
191210,6,23,31,75,73,33,15,3,3,3
125530,2,4,16,47,95,61,30,19,2,3
872371,1,0,11,35,67,36,7,3,0,0
176450,0,0,3,4,50,59,49,42,22,18
280494,0,1,15,18,67,59,36,18,7,3
714239,1,0,4,6,53,57,25,9,2,1
298874,2,1,17,42,71,81,50,22,5,6
83953,0,2,9,28,62,61,30,6,5,2
944022,0,2,14,49,51,26,2,0,1,0
50152,0,2,7,10,38,37,60,44,24,23
25422,1,3,4,13,45,33,17,6,0,3
52459,1,0,2,9,35,46,36,27,12,9
720814,0,0,4,15,50,50,15,9,3,2
518815,0,0,3,19,48,67,48,22,6,3
396854,1,4,7,31,48,64,27,14,4,5
45304,2,2,9,27,61,52,38,25,10,6
957222,2,3,2,14,37,36,13,6,2,2
70323,3,13,38,57,74,43,26,9,8,2
420663,0,1,2,9,36,51,57,21,6,4
2435,1,8,15,33,38,43,38,21,15,7
60455,0,0,3,9,30,52,40,19,6,8
780080,1,3,5,26,68,48,23,7,1,2
706395,0,1,2,5,47,42,19,10,2,1
777733,0,1,3,13,43,53,18,4,2,0
273023,2,13,26,66,78,77,21,13,3,4
772479,16,23,49,83,145,107,52,18,3,3
642791,24,13,33,61,62,27,12,4,2,1
873079,0,1,2,1,28,54,43,13,7,2
899170,0,0,9,21,47,43,7,1,0,0
447996,1,0,5,27,61,88,69,24,12,3
